"","Hotel_City","Review_Date2"
"388","Amsterdam",2015-09-15
"391","Amsterdam",2015-09-09
"392","Amsterdam",2015-09-06
"394","Amsterdam",2015-09-04
"399","Amsterdam",2015-08-23
"400","Amsterdam",2015-08-22
"401","Amsterdam",2015-08-17
"402","Amsterdam",2015-08-16
"403","Amsterdam",2015-08-09
"406","London",2017-08-03
"407","London",2017-08-02
"408","London",2017-07-20
"409","London",2017-07-19
"410","London",2017-07-18
"411","London",2017-07-10
"412","London",2017-07-06
"413","London",2017-06-30
"414","London",2017-06-27
"416","London",2017-06-25
"418","London",2017-06-24
"419","London",2017-06-23
"420","London",2017-06-11
"421","London",2017-06-07
"422","London",2017-06-05
"423","London",2017-05-31
"424","London",2017-05-26
"425","London",2017-05-13
"426","London",2017-05-09
"427","London",2017-05-05
"428","London",2017-04-23
"429","London",2017-04-09
"430","London",2017-03-31
"433","London",2017-03-27
"434","London",2017-03-26
"435","London",2017-03-11
"436","London",2017-03-09
"437","London",2017-03-08
"438","London",2017-03-02
"439","London",2017-02-28
"440","London",2017-02-19
"441","London",2017-02-14
"442","London",2017-02-13
"444","London",2017-02-12
"445","London",2017-02-10
"446","London",2017-02-09
"447","London",2017-02-04
"448","London",2017-02-03
"449","London",2017-01-30
"450","London",2017-01-27
"451","London",2017-01-25
"452","London",2017-01-24
"453","London",2017-01-23
"455","London",2017-01-18
"456","London",2017-01-16
"457","London",2017-01-15
"458","London",2017-01-13
"459","London",2017-01-09
"460","London",2017-01-03
"461","London",2016-12-30
"463","London",2016-12-28
"464","London",2016-12-26
"465","London",2016-12-22
"466","London",2016-12-21
"467","London",2016-12-19
"468","London",2016-12-18
"469","London",2016-12-16
"470","London",2016-12-13
"471","London",2016-12-10
"472","London",2016-12-08
"473","London",2016-12-07
"474","London",2016-12-03
"475","London",2016-12-02
"476","London",2016-11-28
"477","London",2016-11-27
"478","London",2016-11-23
"479","London",2016-11-16
"481","London",2016-11-14
"482","London",2016-11-13
"483","London",2016-11-12
"484","London",2016-11-08
"485","London",2016-11-05
"486","London",2016-11-03
"487","London",2016-11-02
"488","London",2016-10-31
"489","London",2016-10-30
"491","London",2016-10-26
"492","London",2016-10-24
"494","London",2016-10-23
"495","London",2016-10-22
"497","London",2016-10-21
"498","London",2016-10-16
"499","London",2016-10-15
"500","London",2016-10-08
"502","London",2016-09-29
"505","London",2016-09-28
"506","London",2016-09-27
"508","London",2016-09-25
"509","London",2016-09-19
"510","London",2016-09-18
"511","London",2016-09-04
"512","London",2016-08-28
"514","London",2016-08-25
"515","London",2016-08-23
"516","London",2016-08-18
"517","London",2016-08-16
"518","London",2016-08-13
"519","London",2016-08-04
"520","London",2016-08-03
"521","London",2016-07-27
"522","London",2016-07-19
"523","London",2016-07-17
"524","London",2016-07-07
"525","London",2016-07-05
"526","London",2016-07-02
"527","London",2016-06-28
"529","London",2016-06-27
"530","London",2016-06-21
"531","London",2016-06-14
"532","London",2016-06-11
"533","London",2016-06-10
"534","London",2016-06-06
"535","London",2016-06-04
"536","London",2016-06-01
"537","London",2016-05-29
"538","London",2016-05-22
"539","London",2016-05-21
"540","London",2016-05-20
"541","London",2016-05-18
"544","London",2016-05-16
"545","London",2016-05-13
"547","London",2016-05-11
"548","London",2016-05-06
"549","London",2016-05-03
"550","London",2016-05-01
"552","London",2016-04-29
"553","London",2016-04-27
"554","London",2016-04-26
"555","London",2016-04-25
"556","London",2016-04-24
"557","London",2016-04-21
"558","London",2016-04-18
"559","London",2016-04-17
"560","London",2016-04-10
"563","London",2016-04-09
"565","London",2016-04-08
"566","London",2016-04-07
"567","London",2016-04-05
"569","London",2016-04-03
"570","London",2016-04-01
"571","London",2016-03-29
"572","London",2016-03-28
"573","London",2016-03-24
"575","London",2016-03-22
"576","London",2016-03-21
"577","London",2016-03-20
"579","London",2016-03-18
"580","London",2016-03-15
"581","London",2016-03-13
"583","London",2016-03-12
"585","London",2016-03-09
"586","London",2016-03-08
"590","London",2016-03-07
"591","London",2016-03-05
"592","London",2016-03-04
"595","London",2016-03-03
"596","London",2016-03-01
"598","London",2016-02-28
"600","London",2016-02-27
"604","London",2016-02-24
"605","London",2016-02-23
"611","London",2016-02-22
"613","London",2016-02-21
"617","London",2016-02-20
"618","London",2016-02-18
"620","London",2016-02-16
"621","London",2016-02-13
"622","London",2016-02-12
"625","London",2016-02-11
"627","London",2016-02-09
"628","London",2016-02-08
"629","London",2016-02-07
"631","London",2016-02-05
"632","London",2016-02-03
"633","London",2016-02-01
"634","London",2016-01-31
"637","London",2016-01-26
"641","London",2016-01-24
"643","London",2016-01-21
"644","London",2016-01-19
"645","London",2016-01-18
"647","London",2016-01-16
"648","London",2016-01-12
"649","London",2016-01-10
"652","London",2016-01-03
"654","London",2016-01-02
"655","London",2015-12-30
"656","London",2015-12-29
"657","London",2015-12-27
"658","London",2015-12-26
"659","London",2015-12-25
"660","London",2015-12-24
"661","London",2015-12-22
"664","London",2015-12-18
"665","London",2015-12-16
"666","London",2015-12-15
"668","London",2015-12-01
"669","London",2015-11-28
"671","London",2015-11-27
"672","London",2015-11-24
"674","London",2015-11-10
"675","London",2015-11-07
"676","London",2015-11-03
"677","London",2015-11-01
"678","London",2015-10-29
"679","London",2015-10-28
"680","London",2015-10-24
"681","London",2015-10-08
"682","London",2015-10-01
"683","London",2015-09-16
"684","London",2015-08-25
"685","London",2015-08-18
"686","London",2017-08-01
"687","London",2017-07-26
"689","London",2017-07-16
"690","London",2017-07-07
"695","London",2017-06-20
"696","London",2017-06-18
"697","London",2017-06-12
"699","London",2017-06-10
"700","London",2017-05-23
"701","London",2017-05-11
"703","London",2017-05-10
"704","London",2017-05-01
"705","London",2017-04-28
"706","London",2017-04-26
"707","London",2017-04-25
"709","London",2017-04-20
"710","London",2017-03-20
"711","London",2017-03-13
"712","London",2017-03-12
"713","London",2017-03-06
"714","London",2017-02-21
"715","London",2017-02-20
"717","London",2017-02-18
"718","London",2017-02-16
"719","London",2017-02-15
"725","London",2017-02-11
"726","London",2017-02-06
"728","London",2017-01-26
"730","London",2017-01-21
"731","London",2017-01-17
"732","London",2017-01-12
"733","London",2017-01-10
"735","London",2017-01-08
"736","London",2016-12-20
"739","London",2016-12-15
"740","London",2016-12-12
"741","London",2016-12-06
"743","London",2016-11-30
"744","London",2016-11-29
"745","London",2016-11-22
"747","London",2016-11-10
"748","London",2016-11-07
"750","London",2016-11-04
"753","London",2016-10-28
"755","London",2016-10-25
"758","London",2016-10-05
"759","London",2016-10-02
"761","London",2016-09-26
"762","London",2016-09-24
"764","London",2016-09-16
"768","London",2016-09-03
"769","London",2016-09-01
"772","London",2016-08-24
"774","London",2016-08-22
"775","London",2016-08-21
"776","London",2016-08-20
"777","London",2016-08-19
"778","London",2016-08-14
"781","London",2016-08-11
"782","London",2016-08-07
"784","London",2016-08-01
"788","London",2016-07-14
"789","London",2016-07-12
"790","London",2016-07-10
"791","London",2016-07-09
"793","London",2016-07-08
"796","London",2016-07-03
"799","London",2016-06-29
"802","London",2016-06-22
"805","London",2016-06-20
"808","London",2016-06-07
"809","London",2016-05-31
"810","London",2016-05-27
"811","London",2016-05-26
"812","London",2016-05-25
"815","London",2016-05-19
"816","London",2016-05-17
"818","London",2016-05-14
"819","London",2016-05-12
"821","London",2016-05-09
"828","London",2016-04-22
"830","London",2016-04-19
"833","London",2016-04-14
"834","London",2016-04-12
"837","London",2016-04-04
"839","London",2016-04-02
"842","London",2016-03-27
"843","London",2016-03-25
"846","London",2016-03-19
"849","London",2016-03-17
"853","London",2016-03-14
"858","London",2016-03-11
"860","London",2016-03-10
"866","London",2016-03-06
"871","London",2016-03-02
"877","London",2016-02-26
"878","London",2016-02-25
"886","London",2016-02-19
"888","London",2016-02-17
"891","London",2016-02-14
"900","London",2016-02-06
"901","London",2016-02-04
"902","London",2016-01-30
"908","London",2016-01-23
"914","London",2016-01-17
"917","London",2016-01-15
"918","London",2016-01-14
"923","London",2016-01-11
"926","London",2016-01-07
"935","London",2015-12-17
"936","London",2015-12-14
"937","London",2015-12-13
"938","London",2015-12-12
"939","London",2015-12-07
"940","London",2015-12-02
"947","London",2015-11-17
"948","London",2015-11-15
"951","London",2015-10-30
"952","London",2015-10-25
"953","London",2015-10-20
"954","London",2015-10-18
"955","London",2015-10-12
"956","London",2015-10-11
"957","London",2015-10-09
"958","London",2015-10-06
"959","London",2015-10-03
"960","London",2015-09-30
"962","London",2015-09-27
"963","London",2015-09-22
"964","London",2015-09-20
"965","London",2015-09-17
"966","London",2015-09-06
"967","London",2015-09-04
"968","London",2015-09-01
"970","London",2015-08-16
"971","London",2015-08-09
"977","London",2017-07-05
"978","London",2017-07-03
"979","London",2017-07-01
"983","London",2017-06-14
"986","London",2017-05-25
"987","London",2017-05-22
"989","London",2017-05-17
"990","London",2017-05-16
"991","London",2017-05-14
"994","London",2017-05-04
"995","London",2017-04-27
"998","London",2017-04-21
"1000","London",2017-04-19
"1001","London",2017-04-05
"1006","London",2017-03-07
"1008","London",2017-03-05
"1010","London",2017-03-01
"1011","London",2017-02-27
"1012","London",2017-02-24
"1020","London",2017-02-07
"1023","London",2017-01-29
"1025","London",2017-01-22
"1039","London",2016-12-31
"1043","London",2016-12-25
"1045","London",2016-12-24
"1046","London",2016-12-23
"1050","London",2016-12-14
"1061","London",2016-12-05
"1064","London",2016-12-04
"1065","London",2016-12-01
"1069","London",2016-11-24
"1075","London",2016-11-01
"1079","London",2016-10-29
"1082","London",2016-10-14
"1083","London",2016-10-13
"1084","London",2016-10-11
"1085","London",2016-10-10
"1086","London",2016-10-09
"1087","London",2016-10-06
"1089","London",2016-10-04
"1090","London",2016-10-03
"1093","London",2016-10-01
"1094","London",2016-09-30
"1096","London",2016-09-23
"1103","London",2016-09-15
"1104","London",2016-09-10
"1105","London",2016-09-06
"1107","London",2016-08-31
"1108","London",2016-08-30
"1113","London",2016-08-27
"1127","London",2016-08-09
"1129","London",2016-08-08
"1131","London",2016-08-05
"1135","London",2016-08-02
"1137","London",2016-07-28
"1139","London",2016-07-26
"1140","London",2016-07-25
"1141","London",2016-07-23
"1142","London",2016-07-22
"1144","London",2016-07-20
"1145","London",2016-07-13
"1153","London",2016-07-06
"1160","London",2016-07-01
"1164","London",2016-06-26
"1168","London",2016-06-15
"1170","London",2016-06-12
"1172","London",2016-06-09
"1182","London",2016-05-24
"1191","London",2016-05-15
"1195","London",2016-05-04
"1197","London",2016-05-02
"1201","London",2016-04-20
"1206","London",2016-04-16
"1215","London",2016-04-06
"1219","London",2016-03-31
"1226","London",2016-03-23
"1246","London",2016-02-29
"1255","London",2016-02-15
"1263","London",2016-02-02
"1271","London",2016-01-28
"1272","London",2016-01-27
"1283","London",2016-01-13
"1288","London",2016-01-04
"1296","London",2016-01-01
"1297","London",2015-12-31
"1299","London",2015-12-28
"1306","London",2015-12-21
"1307","London",2015-12-19
"1311","London",2015-12-09
"1312","London",2015-12-08
"1314","London",2015-12-06
"1317","London",2015-11-30
"1318","London",2015-11-21
"1319","London",2015-11-20
"1326","London",2015-11-08
"1327","London",2015-11-05
"1328","London",2015-11-02
"1331","London",2015-10-31
"1334","London",2015-10-27
"1339","London",2015-10-14
"1340","London",2015-10-13
"1346","London",2015-10-05
"1347","London",2015-09-28
