key,key_update,key_type
standard_double_room_with_sofa_bed_3_adults,double_room,room_type
privilege_double_room_with_terrace,balcony_room,room_type
duke_of_monmouth_suite,suite,other_room_types
studio_king_3_adults,king_room,room_type
studio_king_family,family_trip,trip_type
studio_twin_room_3_adults,twin_room,room_type
studio_twin_room,twin_room,room_type
double_junior_suite,suite,other_room_types
double_room_ground_floor,double_room,room_type
triple_junior_suite,suite,other_room_types
double_or_twin_junior_suite,suite,other_room_types
rooftop_suite,suite,other_room_types
classic_room_with_garden_view,park_view,view_type
superior_room_with_garden_view,park_view,view_type
two_adjacent_double_room,double_room,room_type
non_smoking_standard_room_with_1_double_bed,king_room,room_type
exclusive_double_room,double_room,room_type
junior_suite_with_double_bed,suite,other_room_types
junior_triple_suite,suite,other_room_types
junior_suite_with_twin_beds,suite,other_room_types
deluxe_double_room_2_adults_1_child,family_trip,trip_type
junior_suite_with_terrace,balcony_room,room_type
premium_king_room_with_view,room_with_view,view_type
corner_suite,suite,other_room_types
classic_double_or_twin_room_1_2_adults,double_room,room_type
suite_family_room,family_trip,trip_type
standard_double_room_with_terrace,balcony_room,room_type
deluxe_apartment_4_adults_2_children,family_trip,trip_type
suite_2_adults_2_children,family_trip,trip_type
junior_suite_courtyard,suite,other_room_types
double_room_with_single_bed,double_room,room_type
deluxe_double_plus_single_bed,double_room,room_type
executive_queen_room_with_two_queen_beds_with_lounge_access,lounge_access,access_type
classic_apartment,apartment,other_room_types
deluxe_apartment,deluxe_room,room_type
one_bedroom_king_suite_with_sofa_bed,king_room,room_type
easter_special_executive_king_room,king_room,room_type
club_level_classic_rooms,more_than_one_room,room_type
superior_double_room_with_1_double_bed_and_1_sofa_bed_2_places,double_room,room_type
standard_room_with_1_double_bed_and_1_sofa_bed,double_room,room_type
superior_room_with_one_double_bed,double_room,room_type
superior_room_with_1_double_bed_and_1_sofa_bed_1_place,double_room,room_type
superior_room_with_1_double_bed_and_1_sofa_bed_2_places,double_room,room_type
deluxe_double_room_with_terrace,balcony_room,room_type
triple_room_with_terrace,balcony_room,room_type
2_connecting_rooms,more_than_one_room,room_type
studio_twin,twin_room,room_type
superior_room_non_smoking,king_room,room_type
executive_double_room_non_smoking,king_room,room_type
superior_double_or_twin_room_tea_time_wine_tasting_included,double_room,room_type
standard_double_or_twin_room_tea_time_wine_tasting_included,double_room,room_type
single_room_tea_time_wine_tasting_included,single_room,room_type
twin_room_with_courtyard_view,courtyard_view,view_type
king_room_with_courtyard_view,courtyard_view,view_type
king_room_with_hyde_park_view,park_view,view_type
king_room_with_knightsbridge_view,room_with_view,view_type
suite_with_knightsbridge_view,room_with_view,view_type
hyde_park_junior_suite_with_park_view,park_view,view_type
mandarin_junior_suite,suite,other_room_types
grand_superior_king_or_twin_room,king_room,room_type
superior_king,king_room,room_type
grand_deluxe_king_or_twin_room,king_room,room_type
grand_junior_suite,suite,other_room_types
standard_room_with_1_double_bed_and_1_double_sofa_bed,double_room,room_type
king_suite_with_sofa_bed_4_adults,king_room,room_type
superior_room_with_spa_fitness_access,spa_access,access_type
deluxe_room_with_spa_fitness_access,spa_access,access_type
city_king_or_twin_room,king_room,room_type
junior_suite_with_balcony,balcony_room,room_type
classic_adjacent_rooms,more_than_one_room,room_type
royal_suite,suite,other_room_types
one_bedroom_suite_with_kitchenette,suite,other_room_types
queen_room_mobility_access,queen_room,room_type
family_room_with_sofa_bed,family_trip,trip_type
king_atrium_suite_with_lounge_access,lounge_access,access_type
superior_romantic_double_room,double_room,room_type
standard_queen_room_with_sofa_bed,queen_room,room_type
standard_double_room_with_two_single_beds,double_room,room_type
the_duplex,duplex,other_room_types
superior_double_room_with_roll_in_shower_disability_access,accessibility,accessibility
junior_suite_with_view_of_the_eiffel_tower,paris_view,view_type
large_double_room_with_champs_elysees_view,paris_view,view_type
king_room_with_city_view,city_view,view_type
privilege_room_with_king_bed,king_room,room_type
privilege_super_king_or_twin_room,king_room,room_type
privilege_family_room,family_trip,trip_type
double_room_insolite,double_room,room_type
double_room_intemporelle,double_room,room_type
double_or_twin_room_in_dite,double_room,room_type
cabin_single_room,single_room,room_type
double_room_with_arc_de_triomphe_view_a_glass_of_champagne,paris_view,view_type
2_connecting_deluxe_rooms_with_vip_service_for_kids,family_trip,trip_type
standard_king_room_non_smoking,king_room,room_type
superior_twin_room_with_sofa_bed_non_smoking,king_room,room_type
trash_city_suite,suite,other_room_types
signature_luxury_king_with_balcony,balcony_room,room_type
drop_dead_gorgeous_splash_suite,suite,other_room_types
squint_splash_suite,suite,other_room_types
jimmie_martin_penthouse_suite,penthouse_suite,other_room_types
