,key_update,key_update,key_update,key_update,key_update,key_update,key_update,key_update
123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
123 boulevard S bastopol 2nd arr 75002 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
124 Clerkenwell Rd Camden London EC1R 5DJ United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,business_trip,none
128 King Henry s Road Camden London NW3 3ST United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
128 avenue de Wagram 17th arr 75017 Paris France,spa_access,none,none,none,economy,stayed_less_than_a_week,family_trip,none
129 Bayswater Road London W2 4RJ United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,room_with_view
13 15 Gower Street Camden London WC1E 6HE United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
13 Boulevard Du Temple 3rd arr 75003 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,solo,none
13 Rue De La Paix 2nd arr 75002 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
13 Rue Fran ois Ory 92120 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,business_trip,none
13 Rue Jules Cesar 12th arr 75012 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
13 rue Geoffroy Marie 9th arr 75009 Paris France,none,none,none,none,economy,stayed_less_than_a_week,solo,none
13 rue Saint Sulpice 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
13 rue des Beaux Arts 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,couple,none
130 134 Southampton Row Camden London WC1B 5AF United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
130 135 Minories City of London London EC3N 1NU United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
130 Tottenham Court Road Camden London W1T 5AY United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
132 Boulevard Haussmann 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,business_trip,none
134 George Street Westminster Borough London W1H 5DN United Kingdom,lounge_access,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
14 Henrietta Street Westminster Borough London WC2E 8QH United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,business_trip,city_view
14 Rue Beaujon 8th arr 75008 Paris France,none,none,none,suite,queen_room,stayed_less_than_a_week,family_trip,none
14 Rue St Simon 7th arr 75007 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
14 Rue Stanislas 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
14 Rue de la Sorbonne 5th arr 75005 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
14 Rue du Chevalier de Saint George 1st arr 75001 Paris France,none,none,none,none,economy,stayed_less_than_a_week,family_trip,none
14 rue de la Tremoille 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
140 Park Lane Westminster Borough London W1K 7AA United Kingdom,none,none,none,none,king_room,stayed_more_than_a_week,family_trip,park_view
141 rue St Honor 1st arr 75001 Paris France,none,none,breakfast_included,none,economy,stayed_more_than_a_week,group_trip,none
142 Minories City of London London EC3N 1LS United Kingdom,none,accessibility,none,suite,superior_room,stayed_more_than_a_week,couple,none
142 To 144 Warwick Way Victoria Westminster Borough London SW1V 4JE United Kingdom,none,none,none,apartment,double_room,stayed_more_than_a_week,family_trip,none
143 Avenue De Malakoff 16th arr 75016 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
143 Boulevard Saint Germain 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,room_with_view
144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
146 Praed Street Westminster Borough London W2 1EE United Kingdom,lounge_access,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
147 Cromwell Road Kensington and Chelsea London SW5 0TH United Kingdom,lounge_access,none,none,none,queen_room,stayed_more_than_a_week,group_trip,none
15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,none,none,none,none,single_room,stayed_less_than_a_week,business_trip,none
15 17 Charlotte Street Hotel Westminster Borough London W1T 1RJ United Kingdom,none,none,none,suite,queen_room,stayed_more_than_a_week,family_trip,none
15 Beeston Place Westminster Borough London SW1W 0JW United Kingdom,none,none,none,suite,queen_room,stayed_more_than_a_week,family_trip,park_view
15 Boulevard Romain Rolland 14th arr 75014 Paris France,none,none,none,none,queen_room,stayed_less_than_a_week,family_trip,none
15 Cromwell Place Kensington and Chelsea London SW7 2LA United Kingdom,none,none,none,suite,deluxe_room,stayed_more_than_a_week,family_trip,none
15 Montague St Bloomsbury Camden London WC1B 5BJ United Kingdom,none,none,none,suite,king_room,stayed_less_than_a_week,family_trip,none
15 Place Vend me 1st arr 75001 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
15 Quai Saint Michel 5th arr 75005 Paris France,none,none,none,penthouse_suite,double_room,stayed_more_than_a_week,family_trip,none
15 Rue Boissy d Anglas 8th arr 75008 Paris France,none,none,none,suite,queen_room,stayed_more_than_a_week,family_trip,none
15 Rue De La Grande Chaumi re 6th arr 75006 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
15 Rue Des Pyramides 1st arr 75001 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
15 Rue Dupleix 15th arr 75015 Paris France,none,none,none,none,economy,stayed_less_than_a_week,group_trip,none
15 Rue Jacob 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,group_trip,none
15 Rue de Bassano 16th arr 75016 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
15 Seymour Street Westminster Borough London W1H 7JW United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
15 rue Edouard Manet 13th arr 75013 Paris France,none,none,none,none,economy,stayed_more_than_a_week,family_trip,none
15 rue de Constantinople 8th arr 75008 Paris France,none,none,breakfast_included,suite,double_room,stayed_more_than_a_week,family_trip,none
150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,none,none,none,none,king_room,stayed_more_than_a_week,family_trip,none
150 Piccadilly Westminster Borough London W1J 9BR United Kingdom,none,none,none,suite,king_room,stayed_more_than_a_week,family_trip,none
151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
151 bis Rue de Rennes 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,room_with_view
152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
153 Boulevard Saint Germain 6th arr 75006 Paris France,none,none,none,none,superior_room,stayed_more_than_a_week,family_trip,none
153 Hammersmith Road Hammersmith and Fulham London W14 0QL United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,business_trip,none
153 Rue De Vaugirard 15th arr 75015 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
16 22 Great Russell Street Camden London WC1B 3NN United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
16 Avenue de l Opera 1st arr 75001 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
16 London Street Paddington Westminster Borough London W2 1HL United Kingdom,none,accessibility,none,none,double_room,stayed_less_than_a_week,family_trip,none
16 Sumner Place Kensington and Chelsea London SW7 3EG United Kingdom,none,none,none,none,superior_room,stayed_more_than_a_week,solo,none
16 avenue de Tourville 7th arr 75007 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
16 boulevard Haussmann 9th arr 75009 Paris France,lounge_access,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
16 rue d Edimbourg 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,business_trip,none
16 rue de Berri 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
16 rue de S ze 9th arr 75009 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
160 Cromwell Road Kensington Kensington and Chelsea London SW5 0TL United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
160 Rue La Fayette 10th arr 75010 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
165 rue de Rome 17th arr 75017 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,couple,none
166 Boulevard Berthier 17th arr 75017 Paris France,none,none,none,suite,economy,stayed_less_than_a_week,family_trip,none
167 rue de Rome 17th arr 75017 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
17 19 Egerton Terrace Knightsbridge Kensington and Chelsea London SW3 2BX United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU United Kingdom,none,none,none,none,twin_room,stayed_more_than_a_week,family_trip,none
17 Avenue Kl ber 16th arr 75016 Paris France,none,none,none,suite,deluxe_room,stayed_less_than_a_week,family_trip,none
17 Boulevard Saint Jacques 14th arr 75014 Paris France,none,none,none,suite,deluxe_room,stayed_less_than_a_week,business_trip,none
17 Nottingham Place Westminster Borough London W1U 5LG United Kingdom,none,none,none,suite,single_room,stayed_less_than_a_week,family_trip,none
17 Rue Du Cotentin 15th arr 75015 Paris France,none,none,none,none,more_than_one_room,stayed_less_than_a_week,family_trip,none
17 Rue de Caumartin 9th arr 75009 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
17 bis rue Am lie 7th arr 75007 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
17 rue Duhesme 18th arr 75018 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
17 rue de Richelieu 1st arr 75001 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,business_trip,none
17 rue de l Arcade 8th arr 75008 Paris France,none,none,none,apartment,economy,stayed_more_than_a_week,family_trip,room_with_view
17 rue g t le coeur 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
171 Knightsbridge Westminster Borough London SW7 1DW United Kingdom,none,none,none,none,king_room,stayed_more_than_a_week,family_trip,none
173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,none,none,none,none,deluxe_room,stayed_more_than_a_week,group_trip,none
177 Boulevard Haussmann 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,group_trip,none
177 rue du faubourg Saint Honor 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
18 30 Lexham Gardens Kensington and Chelsea London W8 5JE United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,river_view
