,City,Date,TempHigh,TempLow,Summary
156,Paris,2017-01-27,47.52,29.97,Mostly cloudy in the morning.
157,Paris,2017-01-20,34.18,23.89,Clear throughout the day.
158,Paris,2017-01-04,42.23,32.26,Mostly cloudy throughout the day.
159,Paris,2017-01-03,34.1,32.08,Foggy throughout the day.
160,Paris,2017-01-01,31.7,24.69,Foggy throughout the day.
161,Paris,2016-12-29,37.73,28.41,Foggy starting in the evening.
162,Paris,2016-12-28,46.24,31.76,Partly cloudy throughout the day.
163,Paris,2016-12-12,42.73,39.02,Foggy in the morning.
164,Paris,2016-12-11,51.06,40.34,Foggy overnight.
165,Paris,2016-11-27,48.29,40.59,Mostly cloudy throughout the day.
166,Paris,2016-11-24,55.59,48.77,Mostly cloudy throughout the day.
167,Paris,2016-11-01,59.11,40.57,Mostly cloudy throughout the day.
168,Paris,2016-10-31,64.4,44.14,Partly cloudy in the morning.
169,Paris,2016-10-27,59.03,46.63,Foggy in the morning.
170,Paris,2016-10-21,56.17,49.01,Mostly cloudy throughout the day.
171,Paris,2016-09-20,68.09,59.02,Mostly cloudy throughout the day.
172,Paris,2016-09-17,62.83,55.09,Mostly cloudy throughout the day.
173,Paris,2016-09-15,67.98,60.28,Mostly cloudy throughout the day.
174,Paris,2016-08-24,96.61,65.81,Partly cloudy starting in the evening.
175,Paris,2016-08-23,90.06,62.49,Clear throughout the day.
176,Paris,2016-08-19,73.4,62.96,Mostly cloudy throughout the day.
177,Paris,2016-07-25,78.8,69.54,Mostly cloudy throughout the day.
178,Paris,2016-07-23,81.46,60.97,Partly cloudy until evening.
179,Paris,2016-07-20,84.4,71.04,Mostly cloudy throughout the day.
180,Paris,2016-07-05,71.88,60.71,Mostly cloudy until evening.
181,Paris,2016-07-02,67.79,57.13,Mostly cloudy throughout the day.
182,Paris,2016-06-27,71.45,59.64,Mostly cloudy throughout the day.
183,Paris,2016-06-19,70.29,55.87,Mostly cloudy throughout the day.
184,Paris,2016-06-15,68.63,53.78,Mostly cloudy throughout the day.
185,Paris,2016-06-05,67.34,57.21,Foggy in the morning.
186,Paris,2016-05-27,75.77,55.72,Partly cloudy throughout the day.
187,Paris,2016-05-17,66.04,43.0,Mostly cloudy throughout the day.
188,Paris,2016-04-30,50.2,42.68,Mostly cloudy throughout the day.
189,Paris,2016-03-27,56.12,44.42,Mostly cloudy throughout the day.
190,Paris,2016-03-09,47.68,40.44,Rain in the morning.
191,Paris,2016-02-11,47.13,37.36,Mostly cloudy throughout the day.
192,Paris,2016-02-02,53.57,44.21,Mostly cloudy throughout the day.
193,Paris,2016-01-16,42.59,30.77,Mostly cloudy throughout the day.
194,Paris,2016-01-13,44.59,38.0,Mostly cloudy throughout the day.
195,Paris,2016-01-03,46.68,42.95,"Rain starting in the afternoon, continuing until evening."
196,Paris,2017-08-01,80.03,60.42,Mostly cloudy throughout the day.
197,Paris,2017-07-31,75.61,57.56,Mostly cloudy throughout the day.
198,Paris,2017-07-24,68.7,56.57,Mostly cloudy throughout the day.
199,Paris,2017-07-23,70.72,56.62,Mostly cloudy throughout the day.
200,Paris,2017-07-18,92.39,66.09,Clear throughout the day.
201,Paris,2017-07-11,75.46,58.78,Mostly cloudy throughout the day.
202,Paris,2017-06-26,83.27,60.49,Mostly cloudy throughout the day.
203,Paris,2017-05-14,67.89,52.52,Mostly cloudy throughout the day.
204,Paris,2017-05-11,68.32,55.2,Mostly cloudy throughout the day.
205,Paris,2017-05-10,70.55,40.71,Mostly cloudy starting in the afternoon.
206,Paris,2017-05-08,53.66,48.16,Mostly cloudy throughout the day.
207,Paris,2017-05-01,60.08,45.66,Mostly cloudy throughout the day.
208,Paris,2017-04-27,52.02,33.99,Mostly cloudy throughout the day.
209,Paris,2017-04-24,64.02,35.2,Mostly cloudy throughout the day.
210,Paris,2017-04-01,62.46,48.31,Mostly cloudy throughout the day.
211,Paris,2017-03-29,69.0,44.13,Mostly cloudy until afternoon.
